epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,433.658,1.32055,1.33574,1.39494,0.76458,0.64615,0.69106,0.3254,1.97207,1.46209,1.7879,0.001208,0.001208,0.001208
14,641.328,1.28872,1.29339,1.38637,0.79521,0.59241,0.7081,0.33493,1.6731,1.33042,1.58994,0.001142,0.001142,0.001142
15,878.605,1.30533,1.27411,1.39232,0.76932,0.59858,0.69744,0.34193,1.61481,1.37193,1.50324,0.001076,0.001076,0.001076
16,1115.99,1.23482,1.21646,1.33194,0.72678,0.65641,0.73135,0.31238,1.91971,1.25347,1.71314,0.00101,0.00101,0.00101
17,1353.61,1.24235,1.20953,1.35433,0.79548,0.68815,0.7835,0.4262,1.52764,1.14289,1.45593,0.000944,0.000944,0.000944
18,1591.32,1.25269,1.23574,1.35327,0.73577,0.67828,0.70404,0.32854,1.68154,1.29177,1.58654,0.000878,0.000878,0.000878
19,1829.21,1.19279,1.17898,1.30644,0.83062,0.7141,0.75677,0.38151,1.69509,1.09456,1.60717,0.000812,0.000812,0.000812
20,2067.91,1.20972,1.16033,1.32092,0.80219,0.73974,0.79686,0.38384,1.65031,1.079,1.53206,0.000746,0.000746,0.000746
21,2318.77,1.11348,1.15235,1.29218,0.75219,0.64744,0.69682,0.31339,1.83089,1.41832,1.78535,0.00068,0.00068,0.00068
22,2524.28,1.13222,1.13717,1.31935,0.86151,0.60256,0.72679,0.38463,1.64532,1.19415,1.56359,0.000614,0.000614,0.000614
23,2757.15,1.09937,1.07184,1.30206,0.82176,0.74231,0.77816,0.41622,1.57421,1.06777,1.51968,0.000548,0.000548,0.000548
24,2992.18,1.06658,1.06896,1.26425,0.8723,0.71026,0.78891,0.45433,1.46617,1.05349,1.43882,0.000482,0.000482,0.000482
25,3225.48,1.08032,1.05058,1.27493,0.90774,0.73158,0.79312,0.4676,1.45952,1.04864,1.4475,0.000416,0.000416,0.000416
26,3461.22,1.05389,1.04719,1.27791,0.87391,0.68974,0.75643,0.4277,1.59609,1.12106,1.53667,0.00035,0.00035,0.00035
27,3694.4,1.05936,1.04357,1.26013,0.88302,0.75484,0.82756,0.47232,1.43928,0.9345,1.42274,0.000284,0.000284,0.000284
28,3926.83,1.03807,1.03755,1.25755,0.84764,0.78974,0.83676,0.4835,1.40153,0.93835,1.36959,0.000218,0.000218,0.000218
29,4161.53,1.01618,1.01376,1.24721,0.88023,0.79148,0.84604,0.45971,1.55226,0.95113,1.49327,0.000152,0.000152,0.000152
30,4394.23,0.98192,0.9884,1.227,0.89291,0.78846,0.85607,0.49296,1.47303,0.94079,1.44222,8.6e-05,8.6e-05,8.6e-05
